"Plot","Value","date","MAP","Index"
"K03",3.06300025840756e-05,2022-01-16,2,"B8"
"K04",3.19999999192078e-05,2022-01-16,2,"B8"
"K05",3.05000012303935e-05,2022-01-16,2,"B8"
"K06",3.28549995174399e-05,2022-01-16,2,"B8"
"K07",3.22900013998151e-05,2022-01-16,2,"B8"
"K08",3.2710002415115e-05,2022-01-16,2,"B8"
"K09",3.28599999193102e-05,2022-01-16,2,"B8"
"K10",3.25650016748114e-05,2022-01-16,2,"B8"
"K11",3.45000007655472e-05,2022-01-16,2,"B8"
"K12",3.29499998770189e-05,2022-01-16,2,"B8"
"K13",3.34500000462867e-05,2022-01-16,2,"B8"
"K14",3.18500024150126e-05,2022-01-16,2,"B8"
"K15",2.96200014417991e-05,2022-01-16,2,"B8"
"S09",3.02199987345375e-05,2022-01-16,2,"B8"
"S13",3.3459999031038e-05,2022-01-16,2,"B8"
"S14",3.33400021190755e-05,2022-01-16,2,"B8"
"S15",3.26500012306497e-05,2022-01-16,2,"B8"
"S16",2.96799998977804e-05,2022-01-16,2,"B8"
"S17",3.1340001442004e-05,2022-01-16,2,"B8"
"S18",3.0010000045877e-05,2022-01-16,2,"B8"
"S19",3.02899998132489e-05,2022-01-16,2,"B8"
"S20",2.96049993266934e-05,2022-01-16,2,"B8"
"S21",2.99499988614116e-05,2022-01-16,2,"B8"
"S22",2.9805000849592e-05,2022-01-16,2,"B8"
"S23",3.16599980578758e-05,2022-01-16,2,"B8"
"S25",2.64600012087612e-05,2022-01-16,2,"B8"
"S26",2.69899992417777e-05,2022-01-16,2,"B8"
"S27",2.66499991994351e-05,2022-01-16,2,"B8"
"S28",2.98400009342004e-05,2022-01-16,2,"B8"
"S29",3.18800011882558e-05,2022-01-16,2,"B8"
"S30",3.06600013573188e-05,2022-01-16,2,"B8"
"S31",2.93850007437868e-05,2022-01-16,2,"B8"
"S32",3.16599980578758e-05,2022-01-16,2,"B8"
"S33",2.88800001726486e-05,2022-01-16,2,"B8"
"E7",3.06000001728535e-05,2022-01-16,2,"B8A"
"E8",3.13300006382633e-05,2022-01-16,2,"B8A"
"E9",3.28900023305323e-05,2022-01-16,2,"B8A"
"E10",3.03249998978572e-05,2022-01-16,2,"B8A"
"E11",2.91300002572825e-05,2022-01-16,2,"B8A"
"E12",2.82250002783258e-05,2022-01-16,2,"B8A"
